Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount  
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,ASHTON HAYES PARISH COUNCIL,4023063,"295,852.35"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4023064,"1,700.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/16/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4023065,"1,700.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4023066,"5,777.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4023066,"1,377.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/16/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4023067,"1,700.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4023070,"4,400.17"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,SOUTH AFRICAN NATION ENERGY RESEARCH INSTITUTE (PTY) LTD (SANERI),4023073,"46,421.76"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,OXFORD ECONOMICS LTD,4023074,"2,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4023077,"1,050.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4023078,"1,815.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,BROOK STREET (UK) LTD,4023079,968.3
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Government Procurement Card New Procedures,Corporate Payments - ,BARCLAYS BANK PLC,4023080,"37,933.28"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Other Training Costs,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THRESHOLDS LTD,4023081,"1,500.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/16/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4023082,"2,942.28"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Outsourced Technical Support (Programme),Science & Innovation Group - Science & Innovation Group,LONDON SCHOOL OF HYGIENE & TROPICAL MEDICINE,4023083,"10,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Hotels Overseas,DECC Private Office Group - DECC Private Office Group,FOREIGN AND COMMONWEALTH OFFICE (FCO),4023084,619.93
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4023085,"3,600.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/16/2011 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,NATURAL ENVIRONMENT RESEARCH COUNCIL,4023088,"5,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4023090,"15,600.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,LANCASTER COHOUSING COMPANY LTD,4023092,"68,304.24"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",AEA TECHNOLOGY plc,4023093,"158,200.03"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",WYG ENGINEERING LTD,4023094,"3,266.90"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",WYG ENGINEERING LTD,4023095,"3,266.92"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,IT Services (Programme),National Climate Change & Consumer Support - Energy Efficiency & Consumers,2 DEGREES COMMUNITIES LTD T/A COMMUNITY CENTRAL,4023096,"5,250.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4023097,"855,841.12"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4023098,"52,016.46"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Hire of Conference Facilities (Programme),National Climate Change & Consumer Support - National Climate Change,PARK PLAZA VICTORIA,4023099,"19,305.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,SOUTH BOATS (SPECIAL PROJECTS) LTD,4023100,"60,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hotels Overseas,Energy Markets & Infrastructure - Office of Nuclear Development,HOTEL CAPRI,4023102,659.91
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4023103,"36,357.03"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4023103,"13,912.76"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4023103,"34,743.01"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Others UK Travel & Subsistence (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,THE BRITISH COAL UTILISATION RESEARCH ASSOCIATION,4023104,"13,442.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4023106,"5,377.80"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4023107,"3,451.49"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4023107,"2,192.85"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4023108,"3,707.61"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4023109,"129,097.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4023110,"129,171.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Other Media Costs,Strategy - Strategy and Delivery Unit,OFFICE FOR PUBLIC MANAGEMENT,4023111,"4,021.25"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4023113,"3,451.56"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4023114,"19,875.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4023115,"5,812.33"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4023119,"200,490.04"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,BT CONFERENCING,4023120,"1,572.61"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4023121,"38,313.44"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,JDR CABLE SYSTEMS LTD,4023122,"124,622.35"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/16/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,LEICESTERSHIRE COUNTY COUNCIL,4023123,"30,313.84"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/16/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,LEICESTERSHIRE COUNTY COUNCIL,4023123,"30,313.84"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Application Support Service,National Climate Change & Consumer Support - Communications,PARITY RESOURCES LTD,4023124,"1,269.45"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Public Relations & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,THE ROYAL SOCIETY,4023126,"3,291.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,IT Maintenance and Management Services,National Climate Change & Consumer Support - Communications,THE ENERGY SAVING TRUST LTD,4023128,"18,000.00"
