Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,LIMECO LTD,164066,1000.00 ,,DL12 9PF,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,CIS CONSULTANCY SERVICES (SIBERIAN & FAR EASTERN) LTD,164067,545.09 ,,DL17 0LR,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,RECITE ME LTD,164068,1154.81 ,,NE8 3BA,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,IPPEE DESIGN LTD,164069,565.27 ,,NG7 1BU,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,HIGH EDGE CONSULTING LTD,164070,1000.00 ,,NG1 1GF,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,SGW SAFETY & SECURITY LTD,164071,1000.00 ,,DE74 2TZ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,BANHE LTD,164072,394.77 ,,LN6 8FB,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,USYSTEMS LTD,164073,1000.00 ,,SG19 3LF,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,IMPULSE POINT OF PURCHASE LTD,164074,825.00 ,,SG19 1RZ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Venue Hire - Passport Development & Events,Trade Development - UK Trade and Investments,THE BARTON GRANGE GROUP LTD T/A THE BARTON GRANGE HOTEL,164133,497.57 ,,PR3 5AA,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Venue Hire - Passport Development & Events,Trade Development - UK Trade and Investments,THE BARTON GRANGE GROUP LTD T/A THE BARTON GRANGE HOTEL,164133,570.90 ,,PR3 5AA,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Venue Hire - Sector Events - UK,Trade Development - UK Trade and Investments,TATE GALLERY,164134,150.00 ,,SW1P 4RG,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Catering - Sector Events - UK,Trade Development - UK Trade and Investments,E CLARKE & SON (COACHES) LTD T/A CLARKES OF LONDON,164135,80.00 ,,SE26 5AT,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Online Services charges - Sector Events - UK,Trade Development - UK Trade and Investments,CLEARVIEW IMAGING SERVICES LTD,164146,1175.00 ,,E3 3JQ,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Printed Publications - Trade Marketing Publication,Defence and Security Organisation - UK Trade and Investments,RED STONE DESIGN LTD,164152,693.00 ,,EC1V 0BX,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Basic Grants - Trade Show Access Programme,Trade Development - UK Trade and Investments,BRITISH WATER,164153,16600.00 ,,SW1H 9BT,,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Sponsors Grants - Trade Show Access Programme,Trade Development - UK Trade and Investments,BRITISH WATER,164155,12240.00 ,,SW1H 9BT,,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Printed Publications - Trade Marketing Publication,Defence and Security Organisation - UK Trade and Investments,RED STONE DESIGN LTD,164158,758.50 ,,EC1V 0BX,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Printed Publications - Trade Marketing Publication,Defence and Security Organisation - UK Trade and Investments,RED STONE DESIGN LTD,164158,5725.50 ,,EC1V 0BX,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Venue Hire - Passport Development & Events,Trade Development - UK Trade and Investments,BRITANNIA HOTELS LTD T/A DARESBURY PARK HOTEL,164159,600.00 ,,WA4 4BB,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Travel and Subsistence UK - Trade Marketing Events,Trade Development - UK Trade and Investments,SERCO REGIONAL SERVICES LTD,164160,8.14 ,,RG27 7FR,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Travel and Subsistence UK - Trade Marketing Events,Trade Development - UK Trade and Investments,SERCO REGIONAL SERVICES LTD,164160,148.55 ,,RG27 7FR,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Sector Events - UK,Trade Development - UK Trade and Investments,THE CREATIVE GARDEN LTD,164161,24140.00 ,,W5 1LT,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Sector Events - UK,Trade Development - UK Trade and Investments,THE CHILDREN'S MEDIA CONFERENCE LTD,164162,9860.00 ,,S10 9EU,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Scheme Management Charges - Sector Champion,Investment Group - UK Trade and Investments,PA CONSULTING GROUP LTD,164163,12900.00 ,,SG8 6DP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Advertising - Trade Marketing Publication,Marketing & Communications - UK Trade and Investments,THE ECONOMIST NEWSPAPER LTD,164165,22163.75 ,,SW1A 1HG,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Recoveries Account - Balance Sheet,Corporate Payments,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,164168,1194.26 ,,CF3 0LW,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,SPIEGEL VERLAG,164053,7105.47 ,,20457,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,SPIEGEL VERLAG,164055,17023.10 ,,20457,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Staff Consultants - Inward Investment Publicity,Chief Operating Officer - UK Trade and Investments,ADECCO UK LTD,164108,794.99 ,,B37 7YE,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Staff Consultants - Inward Investment Publicity,Chief Operating Officer - UK Trade and Investments,ADECCO UK LTD,164124,930.12 ,,B37 7YE,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Research and Development Costs - Economic Monitoring and Evaluation,Chief Operating Officer - UK Trade and Investments,UNIVERSITY OF DURHAM,164140,7700.00 ,,DH1 3HP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Scheme Management Charges - Attracting Global Entrepreneurs,Investment Group - UK Trade and Investments,GRANT THORNTON UK LLP,164166,90738.00 ,,NW1 2EP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Sponsors Grants - Trade Show Access Programme,Trade Development - UK Trade and Investments,PPMA LTD,164167,6720.00 ,,SM6 9AA,EXT,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Basic Grants - SESA Solo Support Scheme,Trade Development - UK Trade and Investments,IAMCP UK LTD,164169,1000.00 ,,CV37 9NR,SME,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Basic Grants - SESA Solo Support Scheme,Trade Development - UK Trade and Investments,THE INDIA SHOP (IMPORTS) LTD,164170,1000.00 ,,SN8 1BE,SME,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Basic Grants - SESA Solo Support Scheme,Trade Development - UK Trade and Investments,THESIS TECHNOLOGY PRODUCTS LTD,164171,1000.00 ,,PO18 8JX,,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Scheme Management Charges - Trade Development Support,Strategic Trade - UK Trade and Investments,CAPITA RESOURCING LTD T/A VEREDUS EXECUTIVE RESOURCING,164177,9320.00 ,,DL1 9HN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Scheme Management Charges - Trade Development Support,Strategic Trade - UK Trade and Investments,CAPITA RESOURCING LTD T/A VEREDUS EXECUTIVE RESOURCING,164178,5780.00 ,,DL1 9HN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Event Management - Tech City,Investment Group - UK Trade and Investments,LONDON LEGACY DEVELOPMENT CORPORATION,164207,120.00 ,,E20 1EJ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Event Management - Tech City,Investment Group - UK Trade and Investments,LONDON LEGACY DEVELOPMENT CORPORATION,164207,2880.00 ,,E20 1EJ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Research and Development Costs - Inward Investment Research,Investment Group - UK Trade and Investments,OCO GLOBAL LTD,164208,6000.00 ,,BT12 4HB,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Basic Grants - Trade Show Access Programme,Trade Development - UK Trade and Investments,UK FASHION AND TEXTILE ASSOCIATION LTD (UKFT),164209,18000.00 ,,WC1N 3AR,,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Sponsors Grants - Trade Show Access Programme,Trade Development - UK Trade and Investments,UK FASHION AND TEXTILE ASSOCIATION LTD (UKFT),164210,10320.00 ,,WC1N 3AR,,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Recoveries Account - Balance Sheet,Corporate Payments,UKTI OMIS SERVICE,164213,2220.00 ,,CF3 0LW,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Bank Charges - Commercial Banks - Overseas Market Introduction Service,Trade Development - UK Trade and Investments,STREAMLINE,164214,6.31 ,,NE8 1HJ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2012,Bank Charges - Commercial Banks - Overseas Market Introduction Service,Trade Development - UK Trade and Investments,STREAMLINE,164214,3983.23 ,,NE8 1HJ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,163869,4505.00 ,,MA 02142,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Scheme Management Charges - Sector Champion,Investment Group - UK Trade and Investments,PA CONSULTING GROUP LTD,164001,41014.10 ,,SG8 6DP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,BY CAPRICE LINGERIE LTD,164059,321.48 ,,W10 5JJ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,ACCOUNTAGILITY LTD,164060,27.00 ,,EC2M 1NH,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,ACCOUNTAGILITY LTD,164060,155.00 ,,EC2M 1NH,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,ACCOUNTAGILITY LTD,164060,665.50 ,,EC2M 1NH,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,DEVON SCHOOL OF ENGLISH LTD,164142,1000.00 ,,TQ3 2AF,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,CAROL PEACE LTD,164143,741.50 ,,BS4 3EM,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,SONGBIRD NATURALS LTD,164144,162.50 ,,BA4 6TL,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,WINDYRIDGE CHEESE LTD,164145,746.85 ,,DT9 4LF,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,CK CLINICAL LTD,164147,999.81 ,,SG1 3BG,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,FB CHAIN LTD,164148,1000.00 ,,SG6 1NE,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,YANA COSMETICS LTD,164149,496.97 ,,SG14 1PX,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,DAVINCI ALLOY WHEELS LTD,164150,127.48 ,,DE24 8QE,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,STONEARTH INTERIORS LTD,164151,1000.00 ,,NG2 1RW,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,CRIB GOGH LTD,164154,1500.00 ,,ST6 4LN,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,M DENT & J MADDEN T/A RSM (UK),164212,43760.00 ,,SE1 1YW,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Design Services - Trade Marketing Publication,Marketing & Communications - UK Trade and Investments,RED STONE DESIGN LTD,164219,2436.00 ,,EC1V 0BX,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Venue Hire - Trade Marketing Events,Trade Development - UK Trade and Investments,GWE BUSINESS WEST LTD,164220,500.00 ,,BS8 3RA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Venue Hire - Trade Marketing Events,Trade Development - UK Trade and Investments,GWE BUSINESS WEST LTD,164220,572.92 ,,BS8 3RA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Venue Hire - Trade Marketing Events,Trade Development - UK Trade and Investments,GWE BUSINESS WEST LTD,164220,1430.39 ,,BS8 3RA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Venue Hire - Trade Marketing Events,Trade Development - UK Trade and Investments,GWE BUSINESS WEST LTD,164220,1500.00 ,,BS8 3RA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Venue Hire - Trade Marketing Events,Trade Development - UK Trade and Investments,GWE BUSINESS WEST LTD,164220,10000.00 ,,BS8 3RA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Recoveries Account - Balance Sheet,Corporate Payments,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,164222,15775.00 ,,CF3 0LW,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/08/2012,Basic Grants - SESA Solo Support Scheme,Trade Development - UK Trade and Investments,THUMBSTAR GAMES LTD,164223,1000.00 ,,L7 9NJ,EXT,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
