Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78389,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78390,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78391,7.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,78392,39.40,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Taxi Services Overseas-Investment - Emerging Markets (Autumn Statement),"Investment Development - Entrepreneurship, Campaigns and Rapid Innovation","Personal Expense, Name Witheld",78400,19.21,,,,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Subsistence Overseas-Investment - Emerging Markets (Autumn Statement),"Investment Development - Entrepreneurship, Campaigns and Rapid Innovation","Personal Expense, Name Witheld",78400,20.00,,,,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Hospitality - Overseas-Investment - Emerging Markets (Autumn Statement),"Investment Development - Entrepreneurship, Campaigns and Rapid Innovation","Personal Expense, Name Witheld",78400,51.47,,,,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78427,120000.00,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78428,44460.00,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78429,41637.22,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78430,221556.00,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78431,223450.03,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78432,16416.00,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78433,10920.00,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78434,160212.00,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78435,4776.00,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78436,58102.40,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Marketing - Design Services-Trade Marketing Publication,Trade Group - Energy & Transport,STERLING PRESS LTD,78437,65.00,,NN15 6XU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Trade Marketing Events,Trade Group - Service Delivery,NOF ENERGY LTD,78438,495.00,,DH1 1TH,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78439,39094.40,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78440,46013.31,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78441,79058.23,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78442,68720.00,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78443,42376.00,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78444,151600.00,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Outsourced Programme Management-Export Communications Review,Trade Group - Service Delivery,SOUTH EAST TRADE & INVESTMENT LTD,78453,9458.33,,PO15 7FN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Media and Design Services-UKTI Programme Admin,Chief Operating Officer - Strategy & Human Resources,BEETROOT PUBLISHING LTD,78454,2000.00,,EC2A 4QX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/01/2015,Other Professional Services-UKTI Programme Admin,Chief Operating Officer - IT and Finance,UK SHARED BUSINESS SERVICES LTD,78456,22000.00,,SN2 1FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Research and Development Expenditure-UKTI Programme Admin,Chief Operating Officer - Chief Operating Officer,LONDON ECONOMICS LTD,78457,10000.00,,WC2R 1LA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Current Grants To Private Sector - NPISH-Sector Support,Trade Group - Partnerships & Business,INFORMATION TECHNOLOGY TELECOMMUNICATIONS AND ELECTRONICS ASSOCIATION T/A TECHUK,78458,45750.00,,WC1B 5EE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/01/2015,Other Travel-Support to Campaigns,Defence and Security Organisation - Regional Directorates,GULFVISA LTD,78459,125.00,,HA4 9LT,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,ADECCO UK LTD,78478,1019.93,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Media and Design Services-UKTI Programme Admin,Chief Operating Officer - Strategy & Human Resources,BEETROOT PUBLISHING LTD,78486,4300.00,,EC2A 4QX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Staff Costs-Other Programme Costs,Trade Group - Service Delivery,CAPITA BUSINESS SERVICES LTD,78506,153.41,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Trade Development External Advisers,Trade Group - Operations Directorate,PA CONSULTING GROUP LTD,78521,4084.48,,SG8 6DP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Trade Development External Advisers,Trade Group - Service Delivery,PA CONSULTING GROUP LTD,78521,10770.52,,SG8 6DP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Trade Development External Advisers,Trade Group - Partnerships & Business,PA CONSULTING GROUP LTD,78521,12557.16,,SG8 6DP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Trade Development External Advisers,Trade Group - UKTI Education,PA CONSULTING GROUP LTD,78521,61778.03,,SG8 6DP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Trade Development External Advisers,Trade Group - Creative Industries & Global Sporting Projects,PA CONSULTING GROUP LTD,78521,64316.16,,SG8 6DP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Trade Development External Advisers,Trade Group - Consumer and Retail,PA CONSULTING GROUP LTD,78521,150609.59,,SG8 6DP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Trade Development External Advisers,Trade Group - Partnerships & Business,PA CONSULTING GROUP LTD,78521,162402.92,,SG8 6DP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Trade Development External Advisers,Trade Group - Energy & Transport,PA CONSULTING GROUP LTD,78523,17377.31,,SG8 6DP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Trade Development External Advisers (Autumn Statement),"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",PA CONSULTING GROUP LTD,78523,21883.63,,SG8 6DP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Trade Development External Advisers (Autumn Statement),Trade Group - Operations Directorate,PA CONSULTING GROUP LTD,78523,42740.76,,SG8 6DP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Press Cutting Services-UKTI Programme Admin,Chief Operating Officer - Strategy & Human Resources,BEETROOT PUBLISHING LTD,78526,300.00,,EC2A 4QX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Media and Design Services-UKTI Programme Admin,Chief Operating Officer - Strategy & Human Resources,SPECIAL EFX LTD,78527,105.00,,CV37 8BT,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Hire of Agency Staff-ASEAN Business Council,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",ADECCO UK LTD,78534,963.94,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Outsourced Programme Management-Export Market Research Scheme,Trade Group - Service Delivery,SOUTH EAST TRADE & INVESTMENT LTD,78539,66666.66,,PO15 7FN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Outsourced Programme Management-Export Communications Review,Trade Group - Service Delivery,SOUTH EAST TRADE & INVESTMENT LTD,78540,17625.00,,PO15 7FN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Research and Development Expenditure-UKTI Programme Admin,Chief Operating Officer - Chief Operating Officer,OMB RESEARCH LTD,78541,22420.00,,ME19 6DZ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78543,175063.30,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78544,175063.30,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78545,25189.90,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,GRANT THORNTON UK LLP,78545,149873.40,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Conference and Exhibition Services-Outward missions,Trade Group - Partnerships & Business,GRANT THORNTON UK LLP,78546,2283.75,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/01/2015,Conference and Exhibition Services-Sector Events - Abroad,Trade Group - Partnerships & Business,GRANT THORNTON UK LLP,78547,35484.00,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Corporate Event Management and Marketing-Sector Events - Abroad,Trade Group - Partnerships & Business,GRANT THORNTON UK LLP,78548,-16032.00,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Conference and Exhibition Services-Sector Events - Abroad,Trade Group - Partnerships & Business,GRANT THORNTON UK LLP,78549,24046.02,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Professional Subscriptions-UKTI Programme Admin,Chief Operating Officer - IT and Finance,"Personal Expense, Name Witheld",78610,310.00,,,EMPLOYEE,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Outsourced Programme Management-International Trade Team Contracting,Trade Group - Service Delivery,WEST MIDLANDS INTERNATIONAL TRADE LLP,78638,350.00,,B15 3DH,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/01/2015,Marketing - Promotional Materials-Investment - Sectors (Autumn Statement),Investment Development - Strategy & Policy,FOUR COMMUNICATIONS PLC,78639,-560.00,,WC25 7FG,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Stationery-UKTI Programme Admin,Chief Operating Officer - IT and Finance,BANNER BUSINESS SERVICES LTD,78640,22.09,,NR3 1QU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Outsourced Programme Management-International Trade Team Contracting,Trade Group - Service Delivery,WEST MIDLANDS INTERNATIONAL TRADE LLP,78643,553.75,,B15 3DH,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/01/2015,Current Grants To Private Sector - NPISH-Trade Development Support,Trade Group - Partnerships & Business,OPEN TO EXPORT C.I.C.,78663,21683.17,,W2 6LG,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/01/2015,Hire of Agency Staff-Business Opportunities,Trade Group - Service Delivery,BROOK STREET (UK) LTD,78667,856.80,,AL1 4ZX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/01/2015,Subsistence UK-Education UK,Trade Group - UKTI Education,"Personal Expense, Name Witheld",78680,17.10,,,,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/01/2015,Marketing - Design Services-Trade Marketing Publication,Trade Group - Energy & Transport,RED STONE DESIGN LTD,78700,8316.95,,EC1M 7AN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/01/2015,Other Media Costs-Investment - Enablers (Autumn Statement),Investment Development - Strategy & Policy,FOUR COMMUNICATIONS PLC,78701,810.00,,WC25 7FG,VENDOR,,,Programme,,,,,,,,,,,,,,,,
